"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SLC41A1",0.134905750515261,3.84095933001403,0.764151243249915,0.448146484011876,0.825164355402133,-5.73252728823527
"OTULIN",-0.112343255698152,5.59800454192351,-0.764092149957698,0.448181396196415,0.825164355402133,-6.03321596305963
"PRKCA",-0.11713734604854,3.8660873337081,-0.763672326328292,0.448429472785793,0.825315004586787,-5.73636881583264
"SLC16A11",0.208588686684821,1.95157735234777,0.763559666488087,0.448496057881576,0.825315004586787,-5.39048743935403
"RAB2B",-0.0929300898481976,4.15858221209299,-0.763442092008181,0.448565553821568,0.825315004586787,-5.79131079142271
"TRAPPC6B",-0.117208639481886,4.24123544429476,-0.76337068714956,0.448607762883729,0.825315004586787,-5.80879862773862
"ZBTB7A",0.0708036117656311,6.8000214375844,0.763191357885751,0.448713778779577,0.825315004586787,-6.19074590736986
"PKN3",0.22549337404387,0.454185478495777,0.763174236823604,0.448723901175883,0.825315004586787,-5.20985241471552
"MGST3",-0.117186892030365,6.31298151032928,-0.763152465298085,0.448736773233913,0.825315004586787,-6.13132074478702
"REXO1",0.102660178270236,5.01279887060796,0.763101556307043,0.448766873182622,0.825315004586787,-5.9428628835325
"PRPS2",-0.122005390022293,3.54526699863244,-0.763089672407562,0.448773899709652,0.825315004586787,-5.67753140880337
"LINC00471",-0.267695501141937,-0.24364933014776,-0.762948528690933,0.448857357878803,0.82536413025881,-5.16172246111466
"AKIRIN1",-0.082234573315481,6.05541384363871,-0.762722213230104,0.44899119693825,0.825489812940774,-6.09827856550226
"AGPS",-0.100792921349399,3.91707925886012,-0.76264102450496,0.449039216224641,0.825489812940774,-5.74860003946306
"LINC02728",0.295494688271487,-0.0219336824228057,0.762292870991865,0.449245166514758,0.825764052439929,-5.17670231940227
"GMEB1",-0.101485734037774,3.89809515651593,-0.762087235569652,0.449366836075286,0.8258833245786,-5.74627151797644
"CBR3",-0.281252445608852,0.451630427970594,-0.761942175393001,0.449452676271543,0.825936724746632,-5.21398565310177
"ZNF793-AS1",-0.301195510665894,-0.232616902257528,-0.76159174611592,0.449660084267433,0.826122789252995,-5.16656844708286
"SCN8A",0.248638762713359,0.442567873068518,0.761416203468587,0.44976400337858,0.826122789252995,-5.21608878279621
"CCDC144NL",0.261793269564028,0.304820735496204,0.761405833303368,0.449770142828143,0.826122789252995,-5.19829651328859
"TTC1",-0.105278635180096,5.67979845702495,-0.761387294520855,0.449781118466447,0.826122789252995,-6.0457416317686
"CROCC",-0.141458031707672,2.79580281186472,-0.761243318571095,0.449866362817048,0.826127634337935,-5.53708419120256
"DICER1-AS1",-0.229497508546957,1.03330892340598,-0.761190981637883,0.449897352464131,0.826127634337935,-5.26766728638023
"TMEM170A",0.0994183968018937,5.54557683456463,0.760260642752541,0.450448430593621,0.827035145542062,-6.02734620013267
"APH1A",0.074592078870109,5.99883808255663,0.759926054827412,0.450646716922372,0.82706400858244,-6.09174695997552
